freq,p_adj,unit,product,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NI,I15,202000,EU27_2020	100.00 	92.75 	99.52 	109.89 	109.85 p	97.60 p	118.49 	181.51 	159.78 e
A,NI,I15,202000,EU28	100.00 	92.89 	100.00 	110.51 	110.70 p	: 	: 	: 	: 
A,NI,I15,202000,FI	100.00 	93.25 	102.36 	113.02 	116.09 	100.66 	120.03 	175.28 	166.73 e
A,NI,I15,202000,FR	100.00 	92.27 	102.23 	116.46 	115.93 	99.68 	119.30 	168.95 	165.25 e
A,NI,I15,202000,HR	: c	: c	: c	: c	: c	: c	: c	: c	146.54 e
A,NI,I15,202000,HU	100.00 	93.00 	98.10 	106.50 	108.80 	103.70 	122.10 	183.00 	221.69 e
A,NI,I15,202000,IE	100.00 	91.94 	97.81 	106.54 	106.53 	98.05 	112.91 	160.64 	156.11 e
A,NI,I15,202000,IT	100.00 	94.90 	100.50 	109.90 	112.20 	101.60 	115.10 	180.00 	165.40 e
A,NI,I15,202000,LT	100.00 	80.49 	88.97 	104.83 	102.73 	78.68 	106.53 	209.28 	165.02 e
A,NI,I15,202000,LU	100.00 	88.53 	97.24 	112.05 	111.92 	91.10 	119.64 	187.09 	163.38 e
A,NI,I15,202000,LV	100.00 	93.98 	98.43 	106.81 	108.46 	98.30 	111.88 	183.40 	160.80 e
A,NI,I15,202000,MT	100.00 	93.14 	90.56 	91.98 	95.38 	95.06 	92.66 	93.86 	93.86 e
A,NI,I15,202000,NL	100.00 	81.60 	90.20 	104.10 	89.90 	68.00 	145.30 	361.70 	134.30 e
A,NI,I15,202000,PL	100.00 	94.73 	99.89 	106.95 	108.07 	101.09 	118.48 p	158.80 	155.29 e
A,NI,I15,202000,PT	100.00 	94.77 	101.17 	109.80 	110.96 	102.70 	119.66 	167.81 	152.49 e
A,NI,I15,202000,RO	100.00 	93.67 	91.97 	106.10 	108.12 	92.77 	110.68 	153.55 	164.05 e
A,NI,I15,202000,SE	100.00 	99.20 	106.90 	120.00 	124.00 	110.40 	130.80 	184.80 	170.67 e
A,NI,I15,202000,SI	100.00 	91.57 	99.72 	108.41 	106.80 	92.45 	108.40 	138.41 	132.00 e
A,NI,I15,202000,SK	100.00 	84.77 	94.53 	127.63 	127.90 	107.30 	132.08 	237.08 	239.37 e
A,NI,I15,202000,UK	100.00 	94.93 	106.77 	119.24 	122.81 	110.50 f	: 	: 	: 
A,NI,I15,202100,AT	100.00 	101.10 	95.60 	96.50 	100.10 	105.90 	113.30 	125.90 	: 
A,NI,I15,202100,BE	100.00 	128.28 	138.41 	141.47 	143.78 	134.54 	153.47 	200.23 	141.37 e
A,NI,I15,202100,BG	100.00 	99.90 	101.30 	103.40 	106.00 	109.00 	112.90 	117.30 	: 
A,NI,I15,202100,CY	100.00 	80.96 	93.65 	102.17 	112.13 	100.33 	113.26 	160.54 	: 
A,NI,I15,202100,CZ	100.00 	93.80 	91.80 	94.20 	104.20 	113.60 	115.10 	186.40 	: 
A,NI,I15,202100,DE	100.00 	100.50 	102.10 	103.50 	106.80 	110.10 	111.50 	132.20 	: 
A,NI,I15,202100,DK	100.00 	100.00 	103.63 	103.61 	103.63 	101.59 	143.04 	285.65 	: 
A,NI,I15,202100,EE	100.00 	102.04 	102.79 	114.03 	114.72 	102.68 	148.40 	293.60 	: 
A,NI,I15,202100,EL	100.00 	99.52 	98.83 	99.04 	103.27 	104.68 	116.17 	220.87 	: 
A,NI,I15,202100,ES	100.00 	89.70 	98.30 	108.90 	95.50 	77.50 	119.00 	183.06 	: 
A,NI,I15,202100,EU27_2020	100.00 	98.75 	101.37 	105.13 	105.39 p	102.99 p	120.72 	177.50 	: 
A,NI,I15,202100,EU28	100.00 	98.81 	101.65 	105.71 	106.42 p	: 	: 	: 	: 
A,NI,I15,202100,FI	100.00 	99.30 	104.15 	108.28 	118.10 	116.90 	123.87 	153.56 	: 
A,NI,I15,202100,FR	100.00 	103.11 	103.55 	104.91 	108.99 	115.48 	118.89 	127.65 	: 
A,NI,I15,202100,HR	: c	: c	: c	: c	: c	: c	: c	: c	: 
A,NI,I15,202100,HU	100.00 	93.50 	92.40 	99.70 	110.90 	114.60 	122.40 	245.80 	: 
A,NI,I15,202100,IE	100.00 	96.47 	95.53 	102.23 	105.51 	105.84 	118.97 	168.62 	: 
A,NI,I15,202100,IT	100.00 	99.30 	103.10 	107.70 	113.10 	106.00 	121.80 	256.30 	: 
A,NI,I15,202100,LT	100.00 	92.61 	91.27 	83.72 	85.67 	87.93 	107.20 	227.36 	: 
A,NI,I15,202100,LU	100.00 	97.07 	93.62 	97.93 	103.89 	114.08 	113.89 	116.29 	: 
A,NI,I15,202100,LV	100.00 	98.12 	91.13 	85.72 	93.94 	87.70 	106.47 	223.64 	: 
A,NI,I15,202100,MT	100.00 	100.00 	72.70 	72.70 	72.51 	74.77 	73.07 	82.87 	: 
A,NI,I15,202100,NL	100.00 	90.00 	88.40 	93.30 	85.60 	62.70 	134.30 	241.00 	: 
A,NI,I15,202100,PL	100.00 	98.20 	100.24 	100.32 	96.27 	107.17 	116.90 p	128.58 	: 
A,NI,I15,202100,PT	: c	: c	: c	: c	: c	: c	: c	: c	: 
A,NI,I15,202100,RO	100.00 	95.43 	97.61 	104.99 	112.04 	118.20 	140.33 	214.99 	: 
A,NI,I15,202100,SE	100.00 	103.50 	109.40 	122.70 	126.70 	111.70 	134.50 	185.42 	: 
